CODE,都道府県,公式HP,コロナ支援サイト,コロナサイトURL
1,北海道,http://www.pref.hokkaido.lg.jp/,休業要請等についてのよくあるお問い合わせ,http://www.pref.hokkaido.lg.jp/ss/ssa/kyuugyou_faq.htm
2,青森県,http://www.pref.aomori.lg.jp/,「青森県新型コロナウイルス感染症拡大防止協力金」について,http://www.pref.aomori.lg.jp/sangyo/shoko/kansenkakudaiboushi_kyoryokukin.html?ref=tw
3,岩手県,http://www.pref.iwate.jp/,事業者の皆様へ（新型コロナウイルス感染症対策）,https://www.pref.iwate.jp/kurashikankyou/iryou/covid19/1028772.html
4,宮城県,http://www.pref.miyagi.jp/,（仮称）宮城県新型コロナウイルス感染症拡大防止協力金について,https://www.pref.miyagi.jp/soshiki/fukensui/coronavirus-kyoryokukin.html
5,秋田県,http://www.pref.akita.lg.jp/,「秋田県新型コロナウイルス感染症拡大防止協力金」について,https://www.pref.akita.lg.jp/pages/archive/49212#%E3%82%88%E3%81%8F%E3%81%82%E3%82%8B%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B
6,山形県,http://www.pref.yamagata.jp/,緊急経営改善支援金（案）について,https://www.pref.yamagata.jp/ou/shokokanko/110001/keieishienkin.html
7,福島県,http://www.pref.fukushima.lg.jp/,福島県新型コロナウイルス感染症拡大防止協力金,http://www.pref.fukushima.lg.jp/sec/32011a/covid19kyouryokukin.html
8,茨城県,http://www.pref.ibaraki.jp/,新型コロナウイルス感染症に関する県の緊急事態措置等について,https://www.pref.ibaraki.jp/1saigai/2019-ncov/kinkyu.html
9,栃木県,http://www.pref.tochigi.lg.jp/,新型コロナウイルス感染拡大防止協力金について,http://www.pref.tochigi.lg.jp/f03/kyoryokukin.html
10,群馬県,http://www.pref.gunma.jp/,休業要請施設に対する「感染症対策事業継続支援金」の実施について,https://www.pref.gunma.jp/06/g01g_00042.html
11,埼玉県,http://www.pref.saitama.lg.jp/,企業の皆さまへ-新型コロナウイルス感染症について-,http://www.pref.saitama.lg.jp/a0801/r020131_shingatakorona.html
12,千葉県,http://www.pref.chiba.lg.jp/,中小企業者支援について｜新型コロナウイルス感染症,https://www.pref.chiba.lg.jp/keishi/ncov/ncov-index.html
13,東京都,http://www.metro.tokyo.jp/,新型コロナウイルス感染症に関する東京都の支援策（事業者向け）,https://www.seisakukikaku.metro.tokyo.lg.jp/information/corona-support-corporation.html
14,神奈川県,http://www.pref.kanagawa.jp/,新型コロナウイルス感染症拡大防止協力金について,https://www.pref.kanagawa.jp/docs/jf2/prs/corona_kyouryoku.html
15,新潟県,http://www.pref.niigata.lg.jp/,休業要請に係る協力金の支給について,https://www.pref.niigata.lg.jp/sec/sangyoseisaku/sikyu.html
16,富山県,http://www.pref.toyama.jp/,「富山県・市町村新型コロナウイルス感染症拡大防止協力金」の申請受付について,http://www.pref.toyama.jp/cms_sec/1306/kj00021931.html
17,石川県,http://www.pref.ishikawa.lg.jp/,石川県新型コロナウイルス感染拡大防止協力金について,https://www.pref.ishikawa.lg.jp/kinyuu/keieishien/kansenkakudaibousikyouryokukin.html
18,福井県,http://www.pref.fukui.lg.jp/,中小企業休業等要請協力金（新型コロナウイルス感染症拡大防止の休業要請等に係る協力金）について,https://www.pref.fukui.lg.jp/doc/sinsan/kyoryokukin.html
19,山梨県,http://www.pref.yamanashi.jp/,「持続化給付_」の申請受付が開始されました。,https://www.pref.yamanashi.jp/shouko-kik/jizokukakyuhukin.html
20,長野県,http://www.pref.nagano.lg.jp/,県・市町村連携新型コロナウイルス拡大防止協力企業等特別支援事業について,https://www.pref.nagano.lg.jp/sansei/sangyo/shokogyo/covid19kyoryoku.html
21,岐阜県,http://www.pref.gifu.lg.jp/,「岐阜県新型コロナウイルス感染症拡大防止協力金」について,https://www.pref.gifu.lg.jp/kinkyu-juyo-joho/shingata_corona_kyugyoyosei.html
22,静岡県,http://www.pref.shizuoka.jp/,静岡県新型コロナウイルス感染拡大防止協力金のご案内,https://www.pref.shizuoka.jp/kinkyu/covid-19-kyouryokukin.html
23,愛知県,http://www.pref.aichi.jp/,愛知県・市町村新型コロナウイルス感染症対策協力金について,https://www.pref.aichi.jp/site/covid19-aichi/kyoryoku2.html
24,三重県,http://www.pref.mie.lg.jp/,三重県新型コロナウイルス感染症拡大阻止協力金について,https://www.pref.mie.lg.jp/TOPICS/m0031500187.htm
